# Node Results
NodeID,X,Y,Z,Ux,Uy,Uz
0,0,0,0.25,3.25865723169e-16,1.58478600966e-16,-1.0650716252e-16
1,0,0,0,-2.96401782658e-16,-1.33514010241e-16,-8.97657607878e-17
2,0,0.25,0.25,2.76880951119e-16,-1.22754926801e-16,-8.38060506143e-17
3,0,0.25,0,-2.54555141117e-16,1.21728304897e-16,-8.64685058851e-17
4,1,0,0.25,7.34570543661e-06,1.73946256425e-07,-4.07696000869e-05
5,1,0,0,-7.27306885329e-06,1.8613725242e-07,-4.07519530475e-05
6,1,0.25,0.25,7.28247252488e-06,1.84994944208e-07,-4.07427992481e-05
7,1,0.25,0,-7.33940956e-06,1.84981930582e-07,-4.07475894921e-05
8,0,0,0.0625,-1.63321669118e-16,-7.47391985958e-17,2.24061770436e-17
9,0,0,0.125,-4.59728399876e-17,-4.3615016441e-17,2.36076383335e-17
10,0,0,0.1875,1.75757103522e-16,7.88836881224e-17,1.24676388761e-17
11,0,0.0625,0.25,6.16685378861e-16,2.05533586235e-17,-3.08630358417e-16
12,0,0.125,0.25,6.13306410069e-16,-2.02887170238e-17,-3.04587888351e-16
13,0,0.1875,0.25,5.02515642817e-16,-1.37458567902e-17,-2.63774463615e-16
14,0,0.25,0.0625,-1.80219098224e-16,1.12760566479e-16,1.68303875297e-17
15,0,0.25,0.125,-6.29630399455e-17,3.98200542764e-17,-3.43649986343e-18
16,0,0.25,0.1875,2.0790365671e-16,-1.37431707964e-16,5.01726298132e-18
17,0,0.0625,0,-5.21696420528e-16,-2.66244328384e-17,-2.6938434332e-16
18,0,0.125,0,-6.51292805434e-16,-3.99945534225e-17,-3.17845123666e-16
19,0,0.1875,0,-5.57881416773e-16,3.7712245169e-17,-2.86050752589e-16
20,1,0,0.0625,-3.58080547927e-06,1.81466111353e-07,-4.07042319346e-05
21,1,0,0.125,2.37660275859e-08,1.82873905367e-07,-4.06815132312e-05
22,1,0,0.1875,3.63845722368e-06,1.81481768748e-07,-4.07148635598e-05
23,1,0.0625,0.25,7.33119065063e-06,1.83611385819e-07,-4.07281407289e-05
24,1,0.125,0.25,7.30294997429e-06,1.85551187334e-07,-4.07054582717e-05
25,1,0.1875,0.25,7.27716542872e-06,1.85410536568e-07,-4.07094347275e-05
26,1,0.25,0.0625,-3.64630918149e-06,1.8836502279e-07,-4.07017149436e-05
27,1,0.25,0.125,-2.88947101027e-08,1.87541761155e-07,-4.06757962244e-05
28,1,0.25,0.1875,3.58639688351e-06,1.82713286024e-07,-4.07016109915e-05
29,1,0.0625,0,-7.2779974514e-06,1.84115513842e-07,-4.07072495501e-05
30,1,0.125,0,-7.2816363659e-06,1.90826963612e-07,-4.06880572001e-05
31,1,0.1875,0,-7.30966077053e-06,1.86110258719e-07,-4.07052639381e-05
32,0.0769230769231,0,0,-1.14050881621e-06,-3.58830617165e-07,-5.91667003388e-07
33,0.153846153846,0,0,-2.0699772364e-06,-4.18931626503e-07,-1.66125280407e-06
34,0.230769230769,0,0,-2.95369483382e-06,-3.65753575569e-07,-3.30874533049e-06
35,0.307692307692,0,0,-3.74129583161e-06,-3.14194737806e-07,-5.527210744e-06
36,0.384615384615,0,0,-4.51501220586e-06,-2.66111123528e-07,-8.26339418008e-06
37,0.461538461538,0,0,-5.11076989765e-06,-1.99193642441e-07,-1.1412264711e-05
38,0.538461538462,0,0,-5.66550330242e-06,-1.35317886682e-07,-1.48726034003e-05
39,0.615384615385,0,0,-6.16144551017e-06,-1.05382803643e-07,-1.86858589249e-05
40,0.692307692308,0,0,-6.54246904833e-06,-3.08845972932e-08,-2.27657241264e-05
41,0.769230769231,0,0,-6.88100557686e-06,2.17748463893e-08,-2.70502844172e-05
42,0.846153846154,0,0,-7.08148038874e-06,7.52561683641e-08,-3.1502991953e-05
43,0.923076923077,0,0,-7.21666430184e-06,1.37894907093e-07,-3.60594924772e-05
44,0.0769230769231,0,0.25,1.10535154631e-06,3.64283849418e-07,-6.08279072413e-07
45,0.153846153846,0,0.25,2.10184605288e-06,4.18999946804e-07,-1.65729017352e-06
46,0.230769230769,0,0.25,3.00677774507e-06,3.23951113484e-07,-3.37638930063e-06
47,0.307692307692,0,0.25,3.77015062364e-06,3.90458277911e-07,-5.56471848576e-06
48,0.384615384615,0,0.25,4.51003718829e-06,3.36766901363e-07,-8.26814344509e-06
49,0.461538461538,0,0.25,5.1452863443e-06,3.13127471233e-07,-1.14245649012e-05
50,0.538461538462,0,0.25,5.7198894585e-06,2.55814780656e-07,-1.4918995803e-05
51,0.615384615385,0,0.25,6.19363763691e-06,2.54995626507e-07,-1.87080421278e-05
52,0.692307692308,0,0.25,6.58041376649e-06,2.56412691816e-07,-2.27714036594e-05
53,0.769230769231,0,0.25,6.90789471633e-06,2.45881342363e-07,-2.70291399133e-05
54,0.846153846154,0,0.25,7.13883492257e-06,2.31461187153e-07,-3.14915567812e-05
55,0.923076923077,0,0.25,7.28451902762e-06,1.962031934e-07,-3.6065048485e-05
56,0.0769230769231,0.25,0,-1.15591828555e-06,3.14942258967e-07,-6.13967509055e-07
57,0.153846153846,0.25,0,-2.12909029251e-06,3.68354152679e-07,-1.74759247394e-06
58,0.230769230769,0.25,0,-3.00216463378e-06,3.44091623962e-07,-3.35846826099e-06
59,0.307692307692,0.25,0,-3.84099850716e-06,2.99636007261e-07,-5.59210616741e-06
60,0.384615384615,0.25,0,-4.52742227731e-06,3.43752077257e-07,-8.28155123068e-06
61,0.461538461538,0.25,0,-5.19138328772e-06,2.78195455768e-07,-1.14010429135e-05
